comm_sz,dim,pop_size,n_iter,seed,time,best_value
8,30,50,1000,3999267064,0.211502075195312,114904.916564267448848
8,30,100,1000,4261288960,0.666160583496094,71499.302576221831259
8,30,200,1000,228377106,2.402622461318970,23285.066562624353537
8,30,400,1000,490466124,9.349267721176147,25186.859803012037446
8,30,800,1000,752790144,36.442207336425781,3335.959542731992315
8,30,1600,1000,1016054472,145.498116254806519,2921.683872900612187
8,30,3200,1000,3137664488,574.565219879150391,677.175959462935566
16,30,50,1000,2691445068,0.150258541107178,69632.312842938146787
16,30,100,1000,4022114858,0.412980318069458,33331.755476765029016
16,30,200,1000,1057817352,1.361934661865234,20318.678965410887031
16,30,400,1000,2388493946,4.973078489303589,9283.883529885506505
16,30,800,1000,3719180872,19.395857334136963,7350.825972424770953
16,30,1600,1000,754948814,76.168240785598755,3965.320629611976983
16,30,3200,1000,2085885184,301.322443485260010,835.615681844790288
16,30,50,1000,2728590629,0.127785682678223,139805.149081804964226
16,30,100,1000,4059260419,0.355532646179199,86375.446779835736379
16,30,200,1000,1094962913,1.177501440048218,26037.387947231614817
16,30,400,1000,2425734705,4.241887569427490,13812.717318148817867
16,30,800,1000,3756608607,16.496864080429077,3958.556170963149270
16,30,1600,1000,793127801,65.627425432205200,3686.117414587148687
16,30,3200,1000,3871358864,257.502659082412720,877.936218077484568
16,30,50,1000,3015986925,0.149979591369629,90276.542684552216087
16,30,100,1000,1795880578,0.417748928070068,67133.413504215379362
16,30,200,1000,3126550368,1.380594968795776,27334.198053874129982
16,30,400,1000,162283426,4.991056203842163,21496.489065073306847
16,30,800,1000,1493029752,19.296208381652832,7801.840445462818934
16,30,1600,1000,2823990710,75.933588266372681,2097.194864815844994
16,30,3200,1000,4155826504,302.629572391510010,794.674125133224493
16,30,50,1000,3966655480,0.127589941024780,145618.762496323441155
16,30,100,1000,195772996,0.355215311050415,36414.554508513661858
16,30,200,1000,1526442786,1.159631252288818,34031.013750009704381
16,30,400,1000,2857184256,4.286576986312866,16360.013120313371473
16,30,800,1000,4187997514,16.544718027114868,5926.270864013604296
16,30,1600,1000,1224274132,64.413316488265991,2515.409432344393281
16,30,3200,1000,6501378,257.284481287002563,1097.620491526745354
16,30,50,1000,940069304,0.126756191253662,134153.485594900732394
16,30,100,1000,2270739094,0.351765871047974,69708.426542392495321
16,30,200,1000,3601408884,1.166031122207642,37831.751327659942035
16,30,400,1000,637179086,4.278549909591675,9467.715278317267803
16,30,800,1000,1967984400,16.488244533538818,4768.253394114490220
16,30,1600,1000,3299196538,64.976070165634155,3140.237755217483937
16,30,3200,1000,337103448,257.504486322402954,505.917957212317674
32,30,50,1000,2357530356,0.117971420288086,92796.986986947464175
32,30,100,1000,1530540998,0.298776865005493,69028.497725239707506
32,30,200,1000,703551640,0.869864463806152,26120.582339145654259
32,30,400,1000,1620779198,2.888875246047974,11428.191816517390180
32,30,800,1000,793862537,10.475444316864014,6746.537126400279703
32,30,1600,1000,4262083161,40.763416290283203,2664.471010341870624
32,30,3200,1000,3436090128,158.980831146240234,529.252697109231690
32,30,50,1000,1414841072,0.096405506134033,166595.551260797277791
32,30,100,1000,2332044408,0.247332096099854,42927.737146476669295
32,30,200,1000,1505055016,0.697547435760498,32795.756026453971572
32,30,400,1000,678107705,2.344471454620361,16658.976532946453517
32,30,800,1000,4146211988,8.643472671508789,6782.801573718471445
32,30,1600,1000,3319559924,33.496674776077271,5421.655302608813145
32,30,3200,1000,4238197936,135.621458053588867,1544.171946983440193
32,30,50,1000,1980806900,0.118110179901123,111144.174009115376975
32,30,100,1000,1153817542,0.297630786895752,71032.556121194938896
32,30,200,1000,2071020913,0.861719131469727,41148.349578368150105
32,30,400,1000,1244049598,2.887600421905518,12074.340727189657628
32,30,800,1000,417114505,10.371330738067627,4170.906834733672440
32,30,1600,1000,3885273689,40.256753683090210,1899.829534892623997
32,30,3200,1000,3059028752,158.934678316116333,482.992489931262639
32,30,50,1000,146873455,0.120155811309814,170547.208203723304905
32,30,100,1000,1064076826,0.298424005508423,102344.355217242744402
32,30,200,1000,237087468,0.855167627334595,40527.082593231258215
32,30,400,1000,3705097900,2.909917593002319,18291.566430629110982
32,30,800,1000,2878206160,10.583862066268921,7649.310446263177255
32,30,1600,1000,2051575120,40.877728939056396,2436.601604207210585
32,30,3200,1000,550337712,160.044559955596924,1155.477789536998671
32,30,50,1000,3749593397,0.118301630020142,122877.128757533282624
32,30,100,1000,2922604039,0.295012950897217,83555.645120545799728
32,30,200,1000,2095614681,0.869735717773438,24208.129771387197252
32,30,400,1000,1268671950,2.945149898529053,8042.780874661072630
32,30,800,1000,441822609,10.676390886306763,7468.033984697335654
32,30,1600,1000,1359539776,40.567669391632080,3738.289980890031075
32,30,3200,1000,534420128,159.891096591949463,402.260244024414476
64,30,50,1000,3192953001,0.115165472030640,126328.595334227968124
64,30,100,1000,2345556651,0.247212171554565,65317.199132165398623
64,30,200,1000,1498160301,0.640890836715698,35371.800462088256609
64,30,400,1000,650830910,1.870880603790283,11759.567030368230917
64,30,800,1000,1547761416,6.232597351074219,7774.236106716071845
64,30,1600,1000,700834908,22.555805444717407,1992.523232658183360
64,30,3200,1000,4149883990,86.478559494018555,1344.725499749560413
64,30,50,1000,664698723,0.116247415542603,182941.254384378378745
64,30,100,1000,4112269669,0.281112909317017,52285.137253343746124
64,30,200,1000,3264941230,0.622862815856934,31807.130236535824224
64,30,400,1000,4161737684,1.845273971557617,10480.013748478530033
64,30,800,1000,3314477488,6.261152505874634,7446.910287230626636
64,30,1600,1000,2467558106,22.498889684677124,2286.973421745173255
64,30,3200,1000,1621662288,86.372617006301880,916.140582081221964
64,30,50,1000,2581936050,0.096848726272583,116611.461495160910999
64,30,100,1000,2651743351,0.206247568130493,56614.797470813224209
64,30,200,1000,1390852458,0.541785478591919,36676.485404301522067
64,30,400,1000,2357488228,1.668702125549316,15447.557340466239111
64,30,800,1000,278258864,5.778297662734985,7928.355511941858822
64,30,1600,1000,362203602,21.272490024566650,3973.038799229674623
64,30,3200,1000,3182169735,82.507532119750977,482.248322299598385
64,30,50,1000,2477519831,0.099939346313477,81173.873201097725541
64,30,100,1000,3374316218,0.205210685729980,72567.136122296753456
64,30,200,1000,2526919868,0.547805786132812,30761.699220686998160
64,30,400,1000,1679562556,1.682122230529785,13183.107806874308153
64,30,800,1000,832244480,5.749229192733765,8115.296641775822536
64,30,1600,1000,4280050644,20.851887226104736,2559.094326284428917
64,30,3200,1000,3433478844,81.284563064575195,839.189978138881656
64,30,50,1000,1060671739,0.101625680923462,142207.822972913476406
64,30,100,1000,213274861,0.210979700088501,89848.091354451986263
64,30,200,1000,1110070712,0.565390348434448,31039.285181581370125
64,30,400,1000,2006903614,1.733386754989624,11657.568123378416203
64,30,800,1000,352999204,5.820340871810913,2732.872777800167114
64,30,1600,1000,3800792930,21.118513345718384,4611.840733096198164
64,30,3200,1000,2147597139,81.702232837677002,507.525552161539622
