comm_sz,dim,pop_size,n_iter,seed,time,best_value
32,30,50,1000,2600725160,0.130028247833252,130169.290150288725272
32,30,100,1000,1757230910,0.318325281143188,49264.652441573758551
32,30,200,1000,913736660,0.924670934677124,59017.927217677519366
32,30,400,1000,70285128,3.073160648345947,17611.867398171161767
32,30,800,1000,3521929216,11.001749753952026,11115.835437629848457
32,30,1600,1000,2678905782,42.598038673400879,3816.106132386456920
32,30,3200,1000,1837210516,167.969881772994995,466.960391070212154
32,30,50,1000,3515790967,0.127316713333130,100469.279397687365417
32,30,100,1000,2672296717,0.318850517272949,78401.429985943526844
32,30,200,1000,1828802467,0.915609359741211,36532.785866549667844
32,30,400,1000,2729037456,3.272858381271362,17314.033956904258957
32,30,800,1000,2821785760,11.007673740386963,6885.300837900245824
32,30,1600,1000,1978533889,43.207380294799805,2233.398119183231302
32,30,3200,1000,1135988462,167.690851449966431,1156.810692204210227
32,30,50,1000,2391370481,0.124841451644897,117099.442368685486144
32,30,100,1000,1547876231,0.298588514328003,40383.685483370449219
32,30,200,1000,704381981,0.882474899291992,34965.362608545037801
32,30,400,1000,4155888252,2.937411069869995,20359.113157715590205
32,30,800,1000,3312493813,10.502947330474854,7182.320689820057851
32,30,1600,1000,4213073228,41.098990201950073,2704.854416139286059
32,30,3200,1000,2691995477,160.562247753143311,1111.931568249992552
32,30,50,1000,4259522299,0.125080823898315,125858.310299443633994
32,30,100,1000,3416028049,0.304320573806763,64640.837471395119792
32,30,200,1000,2572533799,0.876710414886475,35377.563626055787608
32,30,400,1000,1729045060,2.887834072113037,17232.222718751727371
32,30,800,1000,885567479,10.380022764205933,11991.542580740022458
32,30,1600,1000,42134734,40.970539331436157,3332.791133850590086
32,30,3200,1000,3493838423,159.411387443542480,1466.133016832407748
32,30,50,1000,1545520027,0.124890089035034,158635.185173585312441
32,30,100,1000,702025777,0.305253505706787,79348.767521091838717
32,30,200,1000,4153498823,0.884716749191284,16408.913145042773976
32,30,400,1000,3310046916,2.904241085052490,8801.268826946477930
32,30,800,1000,2466679831,10.680439233779907,6054.060866511160384
32,30,1600,1000,1623652238,40.766598224639893,2336.273796551234682
32,30,3200,1000,781898743,162.148652315139771,1085.654198957298831
16,30,50,1000,3504334930,0.153044700622559,153172.907928127417108
16,30,100,1000,531313076,0.414955139160156,71249.328764078876702
16,30,200,1000,1853281468,1.371673583984375,20156.953088139074680
16,30,400,1000,3175249896,5.013673543930054,12199.313463180587860
16,30,800,1000,202343008,19.475356578826904,7086.281189634119983
16,30,1600,1000,1524748656,76.247078657150269,2545.237059784197299
16,30,3200,1000,2426684976,304.709461212158203,1429.673126199204262
16,30,50,1000,2509138326,0.151831388473511,156849.406330940109910
16,30,100,1000,3831083768,0.414901256561279,78245.578269633435411
16,30,200,1000,858095780,1.362899303436279,38139.678117756186111
16,30,400,1000,4052379382,5.014187812805176,15177.233454480938235
16,30,800,1000,1079527104,19.421912670135498,6574.458631973989213
16,30,1600,1000,2402117266,77.389579296112061,2442.792583022514464
16,30,3200,1000,1818441554,341.893824338912964,1039.468434499683781
16,30,50,1000,278083974,0.149133920669556,90652.964700202341191
16,30,100,1000,1600029416,0.441154241561890,68500.747154927463271
16,30,200,1000,2922001156,1.352135181427002,42080.639092651304964
16,30,400,1000,4243972932,5.011506557464600,15211.347608136766212
16,30,800,1000,1271082784,19.508881568908691,7352.449230830822671
16,30,1600,1000,2593555392,76.727583408355713,3016.161403972935659
16,30,3200,1000,3495746160,304.117426633834839,1341.855283008032075
